invoice_no,invoice_ref,amount,payment_method,balanced
E6417,,17400568.68,Due,True
E6418,,17400576.07,Due,False
E6419,,17400586.05,Advance,True
E6420,,17400589.1,Due,False
E6421,,17400591.21,Due,True
E6427,,17401352.41,Advance,True
E6432,,17407479.89,Advance,True
E6433,,17407481.85,Due,True
E6434,,17407491.14,Due,False
E6438,,17407535.16,Advance,True
E6441,,17411718.86,Advance,True
E6442,,17411725.68,Advance,True
E6443,,17411736.03,Advance,True
E6444,,17411739.54,Advance,True
E6445,,17411741.17,Due,True
E6446,,17411743.59,Due,False
E6447,,17411744.67,Due,True
E6448,,17411747.14,Advance,True
E6461,,17413493.54,Due,True
E6462,,17413496.5,Advance,True
E6464,,17413503.82,Due,True
E6465,,17413506.23,Due,True
E6466,,17413515.87,Due,True
E6467,,17413516.65,Due,True
E6479,,17416884.4,Due,True
E6480,,17416888.94,Due,True
E6481,,17416895.83,Due,True
E6484,,17416899.02,Due,True
E6490,,17419556.54,Due,True
E6491,,17419558.87,Due,True
E6492,,17419559.81,Due,True
E6493,,17419561.85,Due,True
E6494,,17419563.67,Due,True
E6495,,17419569.73,Due,True
E6496,,17419574.26,Due,True
E6497,,17419577.96,Due,True
E6500,,17422920.82,Advance,True
E6501,,17423056.28,Advance,True
E6502,,17422931.16,Due,False
E6503,,17422933.45,Due,True
E6504,,17422937.95,Due,True
E6505,,17422942.05,Due,True
E6507,,17422972.0,Advance,True
E6508,,17422977.4,Advance,True
E6509,,17422987.71,Due,True
E6517,,17424702.35,Due,True
E6518,,17424709.18,Advance,True
E6519,,17424713.92,Advance,True
E6520,,17425588.29,Due,True
E6521,,17425598.86,Due,True
E6522,,17425604.49,Advance,True
E6523,,17425612.84,Advance,True
E6525,,17428123.01,Advance,True
E6526,,17428128.03,Due,True
E6527,,17428132.86,Due,True
E6528,,17428140.35,Advance,True
E6530,,17428159.25,Due,True
E6531,,17428160.64,Advance,True
E6539,,17428209.0,Due,False
E6540,,17428209.22,Due,False
E6541,,17428949.66,Due,True
E6542,,17428955.91,Due,True
E6545,,17430760.72,Due,True
E6546,,17430763.64,Due,True
E6547,,17430766.16,Due,True
E6548,,17430769.69,Due,True
E6549,,17430772.43,Due,True
E6550,,17430775.86,Advance,True
E6551,,17430780.51,Due,True
E6554,,17430827.47,Due,True
E6555,,17430830.61,Advance,True
E6556,,17430830.96,Due,True
E6557,,17430835.8,Advance,True
E6560,,17434203.53,Due,True
E6566,,17434233.03,Advance,True
E6567,,17434237.26,Advance,True
E6568,,17434239.24,Due,True
E6569,,17434245.05,Due,False
E6572,,17435912.47,Due,True
E6573,,17435934.63,Due,False
E6574,,17435940.27,Advance,True
E6575,,17435944.17,Advance,True
E6576,,17435949.53,Advance,True
E6581,,17440319.19,Due,True
E6582,,17440319.92,Due,True
E6583,,17440321.07,Advance,True
E6593,,17441978.94,Advance,True
E6594,,17441983.68,Advance,True
E6595,,17441986.14,Due,True
E6596,,17441989.65,Advance,True
E6597,,17441990.87,Due,False
E6598,,17442001.69,Due,True
E6599,,17442002.75,Due,True
E6600,,17442005.01,Advance,True
E6617,,17446281.15,Due,True
E6621,,17447158.7,Due,True
E6622,,17447175.86,Due,True
E6623,,17447179.53,Due,True
E6624,,17447184.96,Advance,True
E6625,,17447188.61,Due,True
E6626,,17447201.67,Due,False
E6627,,17447205.53,Advance,True
E6628,,17447208.55,Due,True
E6629,,17447211.59,Due,True
E6630,,17447217.02,Due,True
E6638,,17448952.2,Due,True
E6639,,17448956.82,Advance,True
E6640,,17448975.57,Due,True
E6644,,17448989.36,Due,False
E6645,,17448990.48,Advance,True
E6646,,17448993.2,Due,True
E6647,,17449000.16,Due,True
E6648,,17449011.2,Due,True
E6650,,17449037.87,Due,True
E6656,,17453186.22,Advance,True
E6657,,17453187.92,Due,True
E6658,,17453189.46,Due,True
E6659,,17453190.15,Due,True
E6660,,17453198.34,Advance,True
E6661,,17453198.79,Due,True
E6662,,17453200.27,Advance,True
E6663,,17453208.78,Advance,True
E6678,,17455751.33,Due,True
E6679,,17455755.92,Due,True
E6680,,17455763.94,Due,True
E6681,,17455765.79,Due,True
E6682,,17455771.25,Advance,True
E6683,,17455773.75,Due,True
E6684,,17455776.54,Due,True
E6685,,17455778.99,Due,True
E6686,,17459231.16,Due,True
E6687,,17459233.75,Advance,True
E6688,,17459237.43,Advance,True
E6689,,17459242.38,Due,True
E6690,,17459244.34,Due,True
E6691,,17459252.95,Advance,True
E6692,,17459262.84,Advance,True
E6693,,17459282.84,Due,True
E6694,,17459284.99,Advance,True
E6703,,17461900.55,Due,False
E6704,,17461930.18,Due,False
E6705,,17461946.87,Due,False
E6706,,17461948.84,Due,False
E6707,,17461953.63,Due,False
E6709,,17462014.27,Due,False
E6720,,17465293.55,Due,False
E6721,,17465297.37,Due,False
E6722,,17465300.29,Due,False
E6723,,17465328.01,Advance,False
E6726,,17466156.13,Due,False
E6732,,17467962.75,Due,False
E6733,,17467968.44,Advance,False
E6734,,17467971.74,Due,False
E6735,,17467973.45,Due,False
E6736,,17471280.45,Advance,False
